version,count_row,overlap count,%
v1,2,4,0.05
v2,2,3,0.0375
v3,2,4,0.05
v4,2,5,0.0625
v5,2,5,0.0625
v6,2,4,0.05
v7,2,3,0.0375
v8,2,3,0.0375
v9,4,29,0.18125
v10,2,3,0.0375
v11,2,3,0.0375
v12,2,5,0.0625
v13,2,3,0.0375
v14,2,4,0.05
v15,2,0,0.0
v16,2,3,0.0375
v17,2,7,0.0875
v18,2,4,0.05
v19,2,3,0.0375
v20,2,4,0.05
v21,2,6,0.075
v22,2,4,0.05
v23,2,8,0.1
v24,2,5,0.0625
v25,2,5,0.0625
v26,4,27,0.16875
v27,2,4,0.05
v28,2,3,0.0375
v29,2,2,0.025
v30,2,8,0.1
v31,2,4,0.05
v32,2,5,0.0625
v33,2,1,0.0125
v34,2,2,0.025
v35,2,4,0.05
v36,2,4,0.05
v37,2,6,0.075
v38,2,3,0.0375
v39,2,3,0.0375
